rank,crowding_distance,ticker,setup_signals,horizon,support_is,support_oos,mu_is,p_long_is,mu_oos,acc_oos,tstat_oos,obj_acc,obj_tstat,obj_support_is,obj_diversity,fold,train_start,train_end,test_start,test_end,direction,expected_edge_pct
1,inf,TSLA US Equity,SIG_02159|SIG_01924,10,49,12,0.0434673001298159,0.5306122448979592,0.213439197636985,1.0,24.05007018543346,1.0,24.05007018543346,49.0,0.1,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.2379282270183285
1,inf,MSTR US Equity,SIG_02797|SIG_02328,10,89,34,0.0647827389106516,0.6629213483146067,0.1914341543578252,1.0,22.012966106724313,1.0,22.012966106724313,89.0,0.15,11,2022-08-25,2025-08-24,2024-09-05,2025-09-04,long,0.2109850924236576
1,inf,QQQ US Equity,SIG_02765|SIG_02789,10,106,18,0.0132660295606531,0.839622641509434,0.0613430726224979,1.0,21.89673430921552,1.0,21.89673430921552,106.0,0.1,3,2019-01-01,2021-12-31,2022-01-11,2023-01-10,long,0.0632636282632657
1,inf,AMD US Equity,SIG_02168|SIG_04639,10,25,18,0.0335086795191518,0.68,0.145602435790079,1.0,18.603973477835996,1.0,18.603973477835996,25.0,0.25,2,2018-07-01,2021-06-30,2021-07-11,2022-07-10,long,0.15673621970210516
1,inf,MSFT US Equity,SIG_00635|SIG_02853,10,18,17,0.0109318111273486,0.5,0.0349087001683331,1.0,16.53658294924951,1.0,16.53658294924951,18.0,0.15,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,long,0.035525161210694156
1,inf,GOOGL US Equity,SIG_00636|SIG_03337,10,21,10,0.0382051904168789,0.6190476190476191,0.0605817201272959,1.0,15.280839382326064,1.0,15.280839382326064,21.0,0.25,6,2020-07-01,2023-06-30,2023-07-11,2024-07-10,long,0.062454417933070605
1,0.4280055528343769,AAPL US Equity,SIG_04089,10,200,13,0.0188086668386931,0.685,0.0618680842600219,1.0,11.987256963969031,1.0,11.987256963969031,200.0,0.4,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.06382200060502297
1,inf,AMD US Equity,SIG_00854,5,89,20,0.0120429005153322,0.6292134831460674,0.0377504175864295,1.0,10.92248677628159,1.0,10.92248677628159,89.0,0.1,1,2018-01-01,2020-12-31,2021-01-11,2022-01-10,long,0.03847201617965501
1,0.2229157324750953,GOOGL US Equity,SIG_02516,2,262,11,0.001335075064086,0.5343511450381679,0.0204668846505274,1.0,8.967966260340184,1.0,8.967966260340184,262.0,0.3,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.02067776758256379
1,0.1429395703962102,MSTR US Equity,SIG_01183,5,189,28,0.0074987964710343,0.5343915343915344,0.0847023788704717,1.0,7.917512059724963,1.0,7.917512059724963,189.0,0.35,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,long,0.0883930897088614
1,0.071326759010729,MSFT US Equity,SIG_00636|SIG_02168,5,38,13,0.0107420289800596,0.5789473684210527,0.0404787164532169,1.0,7.184137192213655,1.0,7.184137192213655,38.0,0.25,2,2018-07-01,2021-06-30,2021-07-11,2022-07-10,long,0.041309146714725076
1,inf,MSTR US Equity,SIG_00636,5,111,12,-0.0252412982630986,0.4864864864864865,-0.1901180320322683,1.0,-3.617795813747034,1.0,-3.617795813747034,111.0,0.1,4,2019-07-01,2022-06-30,2022-07-11,2023-07-10,short,-0.17313846796363086
1,inf,AMD US Equity,SIG_02512,10,303,17,-0.0032615833947566,0.4818481848184818,-0.0480760456050723,1.0,-6.094231739189703,1.0,-6.094231739189703,303.0,0.1,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,short,-0.04693869180216337
1,0.1281577450068917,MSTR US Equity,SIG_01183,3,189,28,0.0048604410283004,0.5079365079365079,0.057733267426104,0.9642857142857144,5.99825155243379,0.9642857142857144,5.99825155243379,189.0,0.4,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,long,0.05943237289591652
1,0.2030749466879771,MSTR US Equity,SIG_02797|SIG_04217,2,41,28,0.0214173923943162,0.7560975609756098,0.0419385548891429,0.9285714285714286,4.669691792540774,0.9285714285714286,4.669691792540774,41.0,0.4666666666666667,11,2022-08-25,2025-08-24,2024-09-05,2025-09-04,long,0.04283039995258875
1,0.4217490463546811,GOOGL US Equity,SIG_02516,3,262,11,0.0024922719633246,0.5610687022900763,0.0280805039867405,0.9090909090909092,6.531102235815227,0.9090909090909092,6.531102235815227,262.0,0.4,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.02847847770651768
1,inf,GOOGL US Equity,SIG_02516,1,262,11,0.0004831023168378,0.5038167938931297,0.0121482026260126,0.9090909090909092,3.487105780745808,0.9090909090909092,3.487105780745808,262.0,0.5,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,long,0.012222291752138625
1,0.2252496392060148,QQQ US Equity,SIG_00689,5,209,28,0.0047698436425849,0.5789473684210527,0.0182422130266318,0.8928571428571429,3.938767552980245,0.8928571428571429,3.938767552980245,209.0,0.3,6,2020-07-01,2023-06-30,2023-07-11,2024-07-10,long,0.018409618594681154
1,0.3214975641188807,AMD US Equity,SIG_02765|SIG_02789,3,106,18,0.0035223326783166,0.5754716981132075,0.0529810494137973,0.8888888888888888,4.947263290751513,0.8888888888888888,4.947263290751513,106.0,0.25,3,2019-01-01,2021-12-31,2022-01-11,2023-01-10,long,0.05440966324880603
1,0.4861379447328842,AMD US Equity,SIG_02512,5,303,17,-0.0031331406902307,0.495049504950495,-0.0203844498913888,0.8823529411764706,-3.6311077211422296,0.8823529411764706,-3.6311077211422296,303.0,0.3,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,short,-0.02017809153849448
1,inf,MSFT US Equity,SIG_00453|SIG_04067,1,21,15,0.0038582943475929,0.5714285714285714,0.0070675552293532,0.8666666666666667,1.6276392910603106,0.8666666666666667,1.6276392910603106,21.0,0.45,6,2020-07-01,2023-06-30,2023-07-11,2024-07-10,long,0.007092589339714239
1,0.1927211366543612,GOOGL US Equity,SIG_00689,5,209,28,0.0058290288163894,0.5502392344497608,0.0218959415899526,0.8571428571428571,3.989241306207191,0.8571428571428571,3.989241306207191,209.0,0.3,6,2020-07-01,2023-06-30,2023-07-11,2024-07-10,long,0.022137416941859334
1,0.0476838967363383,TSLA US Equity,SIG_02168,5,209,41,0.0193577047080762,0.5741626794258373,0.0547282106588586,0.8048780487804879,4.8442445673667045,0.8048780487804879,4.8442445673667045,209.0,0.1,2,2018-07-01,2021-06-30,2021-07-11,2022-07-10,long,0.05625349721744222
1,0.1246041698000806,TSLA US Equity,SIG_02168,2,209,41,0.0108072554190376,0.5598086124401914,0.0238177121729073,0.8048780487804879,4.221953738533866,0.8048780487804879,4.221953738533866,209.0,0.25,2,2018-07-01,2021-06-30,2021-07-11,2022-07-10,long,0.02410361925122273
1,0.3758960783899249,TSLA US Equity,SIG_02152,3,171,64,0.0104893569703547,0.5672514619883041,0.0253690732421943,0.75,3.917257203959469,0.75,3.917257203959469,171.0,0.5,2,2018-07-01,2021-06-30,2021-07-11,2022-07-10,long,0.025693606740502695
1,0.4689917303722651,QQQ US Equity,SIG_00689,2,209,28,0.0018776382147967,0.569377990430622,0.0069336037802808,0.75,2.500878484165911,0.75,2.500878484165911,209.0,0.5,6,2020-07-01,2023-06-30,2023-07-11,2024-07-10,long,0.006957696862745166
1,0.2818267931906303,AMD US Equity,SIG_02761,2,193,24,0.005324517676028,0.538860103626943,0.021538223194668,0.6666666666666666,2.0850260718696036,0.6666666666666666,2.0850260718696036,193.0,0.5,3,2019-01-01,2021-12-31,2022-01-11,2023-01-10,long,0.021771844975117416
1,0.2553168629621749,MSFT US Equity,SIG_03366,3,283,66,0.0028110181805114,0.5971731448763251,0.0089514670994664,0.6363636363636364,2.125240409709698,0.6363636363636364,2.125240409709698,283.0,0.5,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,long,0.00899165129408619
1,0.0109976432094808,QQQ US Equity,SIG_05147,3,311,126,0.003599360374791,0.6045016077170418,0.0015322870892567,0.6111111111111112,0.7696946317492016,0.6111111111111112,0.7696946317492016,311.0,0.1,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,long,0.0015334616409587998
1,inf,AAPL US Equity,SIG_03221,3,307,84,0.0024434284964241,0.5667752442996743,0.0092147607042835,0.6071428571428571,3.1450186279146513,0.6071428571428571,3.1450186279146513,307.0,0.5,4,2019-07-01,2022-06-30,2022-07-11,2023-07-10,long,0.009257347319683085
1,0.4661986487668977,QQQ US Equity,SIG_03298,1,216,83,0.0020447700552755,0.5462962962962963,0.0002545147719182,0.6024096385542169,0.1786460444954151,0.6024096385542169,0.1786460444954151,216.0,0.5,8,2021-07-01,2024-06-30,2024-07-11,2025-07-10,long,0.00025454716355066687
1,0.2082303369513028,AMD US Equity,SIG_01839,1,263,19,0.0038954483302872,0.5057034220532319,0.003094509813342,0.5789473684210527,0.4027930255152875,0.5789473684210527,0.4027930255152875,263.0,0.5,3,2019-01-01,2021-12-31,2022-01-11,2023-01-10,long,0.003099302751490729
1,inf,AAPL US Equity,SIG_01987,2,288,98,0.0044409061009866,0.5833333333333334,0.0032328066256217,0.5612244897959183,1.3142260119491171,0.5612244897959183,1.3142260119491171,288.0,0.5,2,2018-07-01,2021-06-30,2021-07-11,2022-07-10,long,0.003238037780546099
1,0.4934487394677382,MSTR US Equity,SIG_03298,10,216,83,-0.008172547121472,0.4953703703703703,0.0388300137298239,0.3734939759036144,2.0705205947655285,0.3734939759036144,2.0705205947655285,216.0,0.35,8,2021-07-01,2024-06-30,2024-07-11,2025-07-10,short,0.039593751965208535
1,inf,GOOGL US Equity,SIG_03765,1,306,37,-0.0003966500644233,0.5261437908496732,0.0063832934872833,0.3243243243243243,2.116651786265242,0.3243243243243243,2.116651786265242,306.0,0.4,10,2022-07-01,2025-06-30,2025-07-11,2025-09-04,short,0.006403710123831674
1,0.6287820877669754,MSTR US Equity,SIG_05049,3,162,44,-0.0064230497237422,0.4629629629629629,0.0298367813694493,0.3181818181818182,2.2338700540405942,0.3181818181818182,2.2338700540405942,162.0,0.45,8,2021-07-01,2024-06-30,2024-07-11,2025-07-10,short,0.030286358300713356
1,0.3512410800073025,QQQ US Equity,SIG_03008,2,201,26,-0.0011931248053225,0.4925373134328358,0.0119903280795235,0.2692307692307692,3.4217620326377407,0.2692307692307692,3.4217620326377407,201.0,0.4,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,short,0.012062500230720863
1,0.9283030052529068,GOOGL US Equity,SIG_02440,2,262,38,-0.0003893671189075,0.5534351145038168,0.012521896515691,0.2105263157894736,3.3788946861394153,0.2105263157894736,3.3788946861394153,262.0,0.45,10,2022-07-01,2025-06-30,2025-07-11,2025-09-04,short,0.012600623723332705
1,0.0781003277774265,QQQ US Equity,SIG_01183,10,189,28,-0.0017248110696051,0.5079365079365079,0.0534039922937661,0.0714285714285714,8.749332524915769,0.0714285714285714,8.749332524915769,189.0,0.1,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,short,0.05485571262850297
1,0.0192618084198945,MSFT US Equity,SIG_01873,5,105,28,-0.0045731347973684,0.5428571428571428,0.0124882973244564,0.0357142857142857,8.57923765275311,0.0357142857142857,8.57923765275311,105.0,0.4,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,short,0.012566601732890925
1,0.7621347908083855,AAPL US Equity,SIG_03896,10,61,30,-0.0186580012968413,0.3770491803278688,0.0701986517218035,0.0333333333333333,17.54829307862191,0.0333333333333333,17.54829307862191,61.0,0.1,4,2019-07-01,2022-06-30,2022-07-11,2023-07-10,short,0.07272125801440299
1,inf,MSFT US Equity,SIG_01873,10,105,28,-0.0143848100978904,0.4285714285714285,0.0260307078760456,0.0,13.30721896607636,0.0,13.30721896607636,105.0,0.35,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,short,0.026372465707979575
1,inf,GOOGL US Equity,SIG_00636|SIG_04486,10,19,14,-0.0244127339516251,0.5263157894736842,0.0562786634642083,0.0,13.1323370399399,0.0,13.1323370399399,19.0,0.25,5,2020-01-01,2022-12-31,2023-01-11,2024-01-10,short,0.05789243863770355
1,0.1025888833718506,AMD US Equity,SIG_02950,3,105,14,-0.0012230511108051,0.4476190476190476,0.0442927297382347,0.0,5.651850340065461,0.0,5.651850340065461,105.0,0.5,9,2022-01-01,2024-12-31,2025-01-11,2025-09-04,short,0.045288297076653716
